Name,Club,CupYear
Fernando Muslera,Lazio Rom,2010
Juan Castillo,Botafogo FR Rio de Janeiro,2010
Martín Silva,Defensor Sporting Club,2010
Diego Lugano,Fenerbahce Istanbul,2010
Diego Godín,FC Villarreal,2010
Andrés Scotti,Argentinos Juniors,2010
Carlos Valdez,Reggina Calcio,2010
Sebastián Coates,Nacional Montevideo,2010
Mauricio Victorino,Club Universidad de Chile,2010
Álvaro Pereira,FC Porto,2010
Martín Cáceres,FC Barcelona,2010
Jorge Fucile,FC Porto,2010
Maxi Pereira,Benfica Lissabon,2010
Bruno Silva,Ajax Amsterdam,2010
Sebastián Eguren,FC Villarreal,2010
Wálter Gargano,SSC Neapel,2010
Diego Pérez,AS Monaco,2010
Egidio Arévalo Ríos,CF Monterrey,2010
Miguel Amado,Defensor Sporting Club,2010
Álvaro González,Nacional Montevideo,2010
Álvaro Fernández,Nacional Montevideo,2010
Jorge Rodríguez,CA River Plate Montevideo,2010
Ignacio González,FC Valencia,2010
Nicolás Lodeiro,Nacional Montevideo,2010
Jorge Martínez,Catania Calcio,2010
Sebastián Fernández,Club Atlético Banfield,2010
Diego Forlán,Atlético Madrid,2010
Luis Suárez,Ajax Amsterdam,2010
Edinson Cavani,US Palermo,2010
Sebastián Abreu,Aris Thessaloniki,2010
Guillermo Ochoa,CF América,2010
José de Jesús Corona,CD Cruz Azul,2010
Luis Michel,Deportivo Guadalajara,2010
Jonathan Orozco,CF Monterrey,2010
Óscar Pérez,Chiapas FC,2010
Rafael Márquez,FC Barcelona,2010
Héctor Moreno,AZ Alkmaar,2010
Jonny Magallón,Deportivo Guadalajara,2010
Edgar Dueñas,Deportivo Toluca,2010
Maza,PSV Eindhoven,2010
Juan Carlos Valenzuela,CF América,2010
Patricio Araujo,Deportivo Guadalajara,2010
Ismael Rodríguez,CF América,2010
Hugo Ayala,Atlas Guadalajara,2010
Andrés Guardado,Deportivo La Coruna,2010
Fausto Pinto,CD Cruz Azul,2010
Adrián Aldrete,Dorados de Sinaloa,2010
Jorge Torres,Atlas Guadalajara,2010
Daniel Arreola,CF Atlante,2010
Ricardo Osorio,VfB Stuttgart,2010
Óscar Rojas,CF América,2010
Paul Aguilar,CF Pachuca,2010
Efraín Juárez,UNAM Pumas,2010
José Antonio Castro,Tigres UANL,2010
Carlos Salcido,PSV Eindhoven,2010
Gerardo Torrado,CD Cruz Azul,2010
Israel Castro,UNAM Pumas,2010
Israel Martínez,CF América,2010
Luis Miguel Noriega,Puebla FC,2010
Jesús Molina,Tigres UANL,2010
Jonathan dos Santos,FC Barcelona Juvenil A,2010
Pablo Barrera,UNAM Pumas,2010
Edgar Pacheco,Atlas Guadalajara,2010
Braulio Luna,San Luis FC,2010
Ángel Reyna,CF América,2010
Néstor Calderón,Deportivo Toluca,2010
Alberto Medina,Deportivo Guadalajara,2010
Carlos Vela,FC Arsenal,2010
Omar Arellano,Deportivo Guadalajara,2010
Carlos Esquivel,Deportivo Toluca,2010
Giovani dos Santos,Tottenham Hotspur,2010
Adolfo Bautista,Chiapas FC,2010
Cuauhtémoc Blanco,Chicago Fire,2010
Guillermo Franco,FC Villarreal,2010
Omar Bravo,Deportivo La Coruna,2010
Vicente Matías Vuoso,Santos Laguna,2010
Miguel Sabah,Monarcas Morelia,2010
Juan Carlos Cacho,CF Pachuca,2010
Chicharito,Deportivo Guadalajara,2010
Aldo de Nigris,CF Monterrey,2010
Enrique Esqueda,CF América,2010
Steve Mandanda,Olympique Marseille,2010
Hugo Lloris,Olympique Lyon,2010
Cédric Carrasso,FC Girondins Bordeaux,2010
Éric Abidal,FC Barcelona,2010
William Gallas,FC Arsenal,2010
Sébastien Squillaci,FC Sevilla,2010
Jean-Alain Boumsong,Olympique Lyon,2010
Marc Planus,FC Girondins Bordeaux,2010
Adil Rami,OSC Lille,2010
Julien Escudé,FC Sevilla,2010
Mickaël Ciani,FC Lorient,2010
Patrice Evra,Manchester United,2010
Gaël Clichy,FC Arsenal,2010
Aly Cissokho,FC Porto,2010
